Source,Target,Type,Label,timeset,Weight
1277753665755975681,43023158,Directed,0,,1
1277753093191581696,11160692,Directed,1,,1
1277753085348241408,17229791,Directed,2,,1
1277752768510427144,2669958089,Directed,3,,1
1277752768510427144,1267925527605755905,Directed,4,,1
1277752470249365505,123891446,Directed,5,,1
1277752470249365505,37717107,Directed,6,,1
1277751099546574851,809124436880322561,Directed,7,,1
1277751099546574851,727130698021261313,Directed,8,,1
1277750224451182596,1138847289978626049,Directed,9,,1
1277748549929897985,809124436880322561,Directed,10,,1
1277748337945522178,59342205,Directed,11,,1
1277748337945522178,758264276,Directed,12,,1
1277748337945522178,919972230217584641,Directed,13,,1
1277748261047197697,1271494270608908289,Directed,14,,1
1277748261047197697,36645711,Directed,15,,1
1277748054469120000,2374427275,Directed,16,,1
1277748054469120000,153130919,Directed,17,,1
1277748054469120000,228953890,Directed,18,,1
1277748054469120000,57241850,Directed,19,,1
1277748054469120000,551101521,Directed,20,,1
1277748054469120000,14499829,Directed,21,,1
1277748054469120000,27013292,Directed,22,,1
1277746508759261190,240217004,Directed,23,,1
1277746016528326656,992063308139319296,Directed,24,,1
1277745910232088580,1263476798047879168,Directed,25,,1
1277745910232088580,1254141493780066305,Directed,26,,1
1277745851268567041,809124436880322561,Directed,27,,1
1277745565665804295,1142582386510770177,Directed,28,,1
1277745565665804295,41280003,Directed,29,,1
1277743937713733633,1309177799958245380,Directed,30,,1
1277743937713733633,95904965,Directed,31,,1
1277743341216714752,123891446,Directed,32,,1
1277743341216714752,37717107,Directed,33,,1
1277743276905422849,912492779669999616,Directed,34,,1
1277743276905422849,4436312968,Directed,35,,1
1277743276905422849,994303120376303616,Directed,36,,1
1277742679925968896,1262002336307777536,Directed,37,,1
1277742679925968896,1087259768,Directed,38,,1
1277741422322606087,86902907,Directed,39,,1
1277740681486839808,3215286725,Directed,40,,1
1277740353936859138,64706049,Directed,41,,1
1277740135963144192,74577706,Directed,42,,1
1277740135963144192,328240534,Directed,43,,1
1277740135963144192,50456603,Directed,44,,1
1277740135963144192,68712576,Directed,45,,1
1277739722434019329,29797128,Directed,46,,1
1277739490744897536,1138847289978626049,Directed,47,,1
1277738930515951622,74801757,Directed,48,,1
1277738890858766336,36645711,Directed,49,,1
1277738766208323596,33884545,Directed,50,,1
1277738691780390912,32101740,Directed,51,,1
1277737737039351815,1040704983358955526,Directed,52,,1
1277737480075325446,5111415753049087311,Directed,53,,1
1277737095113641984,32101740,Directed,54,,1
1277736836421562370,1138847289978626049,Directed,55,,1
1277736836421562370,1254674131,Directed,56,,1
1277736361752059906,53232912,Directed,57,,1
1277735973875601413,994266261306597376,Directed,58,,1
1277734112560926720,43023158,Directed,59,,1
1277734048618754051,1102674446639423494,Directed,60,,1
1277734048618754051,68206342,Directed,61,,1
1277734048618754051,909801662482669568,Directed,62,,1
1277733971053461507,1254941533360607232,Directed,63,,1
1277733971053461507,4652693799,Directed,64,,1
1277732997685444608,2670726740,Directed,65,,1
1277732851446775808,4215239055,Directed,66,,1
1277731667633995778,43023158,Directed,67,,1
1277731560238743552,32101740,Directed,68,,1
1277730003824906247,913144237260197894,Directed,69,,1
1277729227303989250,32101740,Directed,70,,1
1277726522728644608,64706049,Directed,71,,1
1277725062972485632,32101740,Directed,72,,1
1277723828773322756,73745956,Directed,73,,1
1277723180447289344,1190332830154407938,Directed,74,,1
1277722422280622081,1147658440845795330,Directed,75,,1
1277722422280622081,1106337804643168258,Directed,76,,1
1277722214620684289,2804949532,Directed,77,,1
1277721819278184450,5635572,Directed,78,,1
1277721819278184450,535707261,Directed,79,,1
1277720506330996742,58048133,Directed,80,,1
1277719487454810115,32101740,Directed,81,,1
1277719440969342978,128636277,Directed,82,,1
1277719061107965953,128372940,Directed,83,,1
1277719061107965953,37717107,Directed,84,,1
1277719061107965953,523331076,Directed,85,,1
1277719025989095424,1262944997118181385,Directed,86,,1
1277718119088340993,37717107,Directed,87,,1
1277717014929387522,56218286,Directed,88,,1
1277717014929387522,496180224,Directed,89,,1
1277717014929387522,4774835619,Directed,90,,1
1277717014929387522,8802752,Directed,91,,1
1277716284172615685,68712576,Directed,92,,1
1277716284172615685,975127727501185025,Directed,93,,1
1277716235908722688,51906585,Directed,94,,1
1277716235908722688,52722451,Directed,95,,1
1277715680222208000,1143946055660265472,Directed,96,,1
1277715680222208000,1062049005977382913,Directed,97,,1
1277715680222208000,1067743649151283200,Directed,98,,1
1277715680222208000,3137545822,Directed,99,,1
1277715680222208000,1935935772,Directed,100,,1
1277715680222208000,868177113278545921,Directed,101,,1
1277715680222208000,1068267370379177984,Directed,102,,1
1277715680222208000,889245630463438850,Directed,103,,1
1277715680222208000,6042945641387458149,Directed,104,,1
1277715680222208000,1155129640048123906,Directed,105,,1
1277715680222208000,725723955949113345,Directed,106,,1
1277715680222208000,1109441961268781056,Directed,107,,1
1277715680222208000,1063903322632003584,Directed,108,,1
1277715680222208000,1230864927541342212,Directed,109,,1
1277715680222208000,1045192364908851206,Directed,110,,1
1277715680222208000,1146580958042304513,Directed,111,,1
1277715680222208000,807989037277519872,Directed,112,,1
1277715680222208000,1088164318758215687,Directed,113,,1
1277715276046401543,64706049,Directed,114,,1
1277714882696282114,32101740,Directed,115,,1
1277714003465252866,32101740,Directed,116,,1
1277713938810048513,32101740,Directed,117,,1
1277712784374013954,1180935702,Directed,118,,1
1277712780813008898,32101740,Directed,119,,1
1277712751436140544,1254941533360607232,Directed,120,,1
1277712751436140544,3577017087,Directed,121,,1
1277712514827067394,1138847289978626049,Directed,122,,1
1277710585589874688,106425301,Directed,123,,1
1277710469369860098,32101740,Directed,124,,1
1277708586643337217,32101740,Directed,125,,1
1277708449091129346,128372940,Directed,126,,1
1277708449091129346,37717107,Directed,127,,1
1277708421786148865,2980524357,Directed,128,,1
1277708421786148865,75264300,Directed,129,,1
1277708412378324996,43023158,Directed,130,,1
1277708151232626688,460614327,Directed,131,,1
1277708151232626688,1180935702,Directed,132,,1
1277707383272361991,128372940,Directed,133,,1
1277707383272361991,37717107,Directed,134,,1
1277705308341710848,43023158,Directed,135,,1
1277705187390603266,145992645,Directed,136,,1
1277705062710751232,1196213618368487428,Directed,137,,1
1277705062710751232,852571421289177094,Directed,138,,1
1277704239637319688,1277718119088340993,Directed,139,,1
1277704239637319688,270492107,Directed,140,,1
1277703715504472064,32101740,Directed,141,,1
1277703439145938944,2980524357,Directed,142,,1
1277703182609715201,1138847289978626049,Directed,143,,1
1277701344388878338,43023158,Directed,144,,1
1277699124817731585,39931528,Directed,145,,1
1277699124817731585,1319636844821217280,Directed,146,,1
1277699124817731585,18048666,Directed,147,,1
1277698675578474497,395388847,Directed,148,,1
1277698509362380802,1071182249566134272,Directed,149,,1
1277698509362380802,29089003,Directed,150,,1
1277698495139454988,2722573234,Directed,151,,1
1277698495139454988,1066144755493543936,Directed,152,,1
1277698340667490304,3332947457,Directed,153,,1
1277697939574587397,74722174,Directed,154,,1
1277696919813279745,1233118674053193728,Directed,155,,1
1277696919813279745,4774985296,Directed,156,,1
1277696460918870016,1125183523038683136,Directed,157,,1
1277696460918870016,33884545,Directed,158,,1
1277696288222580736,1264244966898966528,Directed,159,,1
1277696288222580736,1018000788105367552,Directed,160,,1
1277695804728324097,325139337,Directed,161,,1
1277695804728324097,861707648584085504,Directed,162,,1
1277695716648005633,95904965,Directed,163,,1
1277695716648005633,287670493,Directed,164,,1
1277695716648005633,2325466279,Directed,165,,1
1277695353278652417,949138713795223552,Directed,166,,1
1277691802393468937,32101740,Directed,167,,1
1277691596042100736,2828769007,Directed,168,,1
1277691596042100736,1214660049324384256,Directed,169,,1
1277691596042100736,633098103,Directed,170,,1
1277691348418727942,1222673964419485696,Directed,171,,1
1277690171463532544,1538067019,Directed,172,,1
1277690171463532544,100293359,Directed,173,,1
1277690171463532544,56466263,Directed,174,,1
1277690115188539393,74801757,Directed,175,,1
1277689661092225025,15249841,Directed,176,,1
1277688452696375300,32101740,Directed,177,,1
1277687988089229312,727130698021261313,Directed,178,,1
1277687458247868418,128372940,Directed,179,,1
1277687458247868418,37717107,Directed,180,,1
1277686949306925057,1277371078663385091,Directed,181,,1
1277685352422166534,1349535655244738560,Directed,182,,1
1277685332281044992,32101740,Directed,183,,1
1277684087952719872,2733693937879464563,Directed,184,,1
1277684087952719872,56157348,Directed,185,,1
1277681514482991106,43023158,Directed,186,,1
1277681055311560706,68712576,Directed,187,,1
1277680397468475397,1138847289978626049,Directed,188,,1
1277680065871036419,762003790409166848,Directed,189,,1
1277679231372341249,2804949532,Directed,190,,1
1277678234474348545,1214901395217960962,Directed,191,,1
1277678234474348545,45409867,Directed,192,,1
1277678234474348545,39033058,Directed,193,,1
1277678234474348545,33374761,Directed,194,,1
1277677878373646341,155674026,Directed,195,,1
1277677878373646341,14594698,Directed,196,,1
1277677878373646341,70799317,Directed,197,,1
1277677830462230530,244218738,Directed,198,,1
1277675822472663043,1893654696,Directed,199,,1
1277675822472663043,20736511,Directed,200,,1
1277675822472663043,395392468,Directed,201,,1
1277674993082675200,128372940,Directed,202,,1
1277674993082675200,37717107,Directed,203,,1
1277674703654735873,1116063720512327680,Directed,204,,1
1277674703654735873,2706969109,Directed,205,,1
1277674703654735873,2394855529,Directed,206,,1
1277674703654735873,525544225,Directed,207,,1
1277674703654735873,1066028847865479169,Directed,208,,1
1277674703654735873,1070754531384967168,Directed,209,,1
1277674703654735873,983814956058578945,Directed,210,,1
1277674703654735873,999292364119257088,Directed,211,,1
1277674703654735873,1190303403580239872,Directed,212,,1
1277674703654735873,1075746146436481024,Directed,213,,1
1277674217627140096,2784171498,Directed,214,,1
1277673297891778561,1240042574527836160,Directed,215,,1
1277673082086477824,299668738,Directed,216,,1
1277673082086477824,316273207,Directed,217,,1
1277670856580358154,973432726970920960,Directed,218,,1
1277670738112270337,41280003,Directed,219,,1
1277669976942444547,1134568469399658032,Directed,220,,1
1277669976942444547,726984146,Directed,221,,1
1277669879563288576,128636277,Directed,222,,1
1277669486963888129,975127727501185025,Directed,223,,1
1277669486963888129,37717107,Directed,224,,1
1277667319716687873,68712576,Directed,225,,1
1277667319716687873,135965118,Directed,226,,1
1277666808816951297,10228272,Directed,227,,1
1277664690475339783,2804949532,Directed,228,,1
1277663742793302017,56218286,Directed,229,,1
1277663742793302017,8802752,Directed,230,,1
1277663345492008962,2880932962,Directed,231,,1
1277661147454418945,566898520,Directed,232,,1
1277661147454418945,941630996,Directed,233,,1
1277661147454418945,2985060358428699081,Directed,234,,1
1277660545529917440,913144237260197894,Directed,235,,1
1277659053737590789,717874436,Directed,236,,1
1277658070827532294,451192624,Directed,237,,1
1277658070827532294,20629893,Directed,238,,1
1277657079239651329,14594813,Directed,239,,1
1277656746744516609,68712576,Directed,240,,1
1277656632869228544,30070288,Directed,241,,1
1277654211111669760,2291647847509770048,Directed,242,,1
1277654107617210368,36849552,Directed,243,,1
1277652956431757318,14594698,Directed,244,,1
1277652669306462208,2726301380,Directed,245,,1
1277652025703051266,27630383,Directed,246,,1
1277651897525174278,47251304,Directed,247,,1
1277651897525174278,1253747033309134855,Directed,248,,1
1277651658311438342,43023158,Directed,249,,1
1277651658311438342,128372940,Directed,250,,1
1277651658311438342,64706049,Directed,251,,1
1277650619176812547,925731786,Directed,252,,1
1277650619176812547,56194273,Directed,253,,1
1277650619176812547,4259543607,Directed,254,,1
1277649981449605120,1030508901823926272,Directed,255,,1
1277649981449605120,67596922,Directed,256,,1
1277648802166509568,1037152208754823168,Directed,257,,1
1277648802166509568,88110748,Directed,258,,1
1277648802166509568,727130698021261313,Directed,259,,1
1277648662353653761,319999429,Directed,260,,1
1277648662353653761,1096743322746609664,Directed,261,,1
1277648662353653761,2883433372,Directed,262,,1
1277648662353653761,50456603,Directed,263,,1
1277648662353653761,128372940,Directed,264,,1
1277648662353653761,37717107,Directed,265,,1
1277648226011807746,2880932962,Directed,266,,1
1277647840953741312,2880932962,Directed,267,,1
1277647137799618561,1138847289978626049,Directed,268,,1
1277646023721136129,15249841,Directed,269,,1
1277646023721136129,43023158,Directed,270,,1
1277643514952798211,1020798087449776128,Directed,271,,1
1277642674548457472,727130698021261313,Directed,272,,1
1277642124570353665,1190605863293247488,Directed,273,,1
1277642124570353665,128372940,Directed,274,,1
1277642124570353665,37717107,Directed,275,,1
1277641927274516481,1307442671141740544,Directed,276,,1
1277641927274516481,246471130,Directed,277,,1
1277641182756118529,128372940,Directed,278,,1
1277641182756118529,37717107,Directed,279,,1
1277639753576439809,114291510,Directed,280,,1
1277639296887992322,128372940,Directed,281,,1
1277639296887992322,37717107,Directed,282,,1
1277636602106466305,1052413178536189952,Directed,283,,1
1277636602106466305,128372940,Directed,284,,1
1277636602106466305,37717107,Directed,285,,1
1277636235922726912,68712576,Directed,286,,1
1277635994397945858,1138847289978626049,Directed,287,,1
1277635453567602689,68712576,Directed,288,,1
1277634896853417990,2880932962,Directed,289,,1
1277634896853417990,43023158,Directed,290,,1
1277634389934030848,16908790,Directed,291,,1
1277633718568521730,913144237260197894,Directed,292,,1
1277633316452208641,975149958109245446,Directed,293,,1
1277633316452208641,1135279668754563072,Directed,294,,1
1277633316452208641,1004082828999626754,Directed,295,,1
1277633278120538114,1223700512,Directed,296,,1
1277633278120538114,316273207,Directed,297,,1
1277632927443156996,77375764,Directed,298,,1
1277632927443156996,727130698021261313,Directed,299,,1
1277632927443156996,10228272,Directed,300,,1
1277632583732428800,1066144755493543936,Directed,301,,1
1277632291213316105,511843282,Directed,302,,1
1277632191565049856,68712576,Directed,303,,1
1277631645215055873,43023158,Directed,304,,1
1277630974596198400,1020798087449776128,Directed,305,,1
1277630678528557057,287670493,Directed,306,,1
1277630678528557057,8673675225913560504,Directed,307,,1
1277630678528557057,1309177799958245380,Directed,308,,1
1277630516351680512,4802647035,Directed,309,,1
1277630516351680512,1066144755493543936,Directed,310,,1
1277630322532892672,1160598783148875776,Directed,311,,1
1277630322532892672,2382157448,Directed,312,,1
1277630322532892672,128372940,Directed,313,,1
1277630322532892672,37717107,Directed,314,,1
1277627929405657090,84613584,Directed,315,,1
1277627929405657090,1459930165,Directed,316,,1
1277625791224918016,1093929745669152768,Directed,317,,1
1277625791224918016,716715471148552193,Directed,318,,1
1277624634234544129,248279887,Directed,319,,1
1277624634234544129,68712576,Directed,320,,1
